subject,roi,components...
subj01,ventral,0.312112,0.190873,0.116966,0.099999,0.075831,0.06299,1.361803,2.689602,4.969875
subj02,ventral,0.361004,0.192435,0.104562,0.083535,0.068016,0.057081,1.141791,2.168669,6.370811
subj03,ventral,0.376355,0.140565,0.11096,0.088955,0.072332,0.058721,1.088688,1.891108,6.486019
subj04,ventral,0.308373,0.23861,0.111726,0.081235,0.069013,0.056439,1.297486,2.701748,5.47691
subj05,ventral,0.332387,0.199215,0.106648,0.081826,0.071845,0.059984,1.25446,2.426844,5.647622
subj06,ventral,0.257861,0.219684,0.117977,0.093699,0.077166,0.063275,1.5331,3.37686,4.08358
subj07,ventral,0.344849,0.165173,0.109525,0.079254,0.067477,0.059891,1.220896,2.162523,5.785525
subj08,ventral,0.268415,0.229284,0.158891,0.093934,0.071048,0.059966,1.453874,3.343671,4.545465
subj01,lateral,0.476166,0.224299,0.112525,0.076009,0.047226,0.032573,0.779399,1.685523,15.094722
subj02,lateral,0.358531,0.24498,0.162914,0.098795,0.057517,0.042105,1.173557,2.549432,8.643508
subj03,lateral,0.398804,0.305402,0.105372,0.07815,0.053202,0.034568,0.97362,2.192312,12.555804
subj04,lateral,0.434818,0.195908,0.106282,0.089353,0.072505,0.056524,0.909587,1.764177,7.8395
subj05,lateral,0.416952,0.210255,0.111966,0.083824,0.069129,0.051179,0.969862,1.89538,8.197116
subj06,lateral,0.352547,0.213196,0.166531,0.101626,0.073289,0.050839,1.225856,2.568451,7.470474
subj07,lateral,0.515246,0.160136,0.094718,0.078161,0.058533,0.044903,0.639462,1.400458,11.791395
subj08,lateral,0.30352,0.201733,0.149237,0.091123,0.072393,0.060263,1.37961,2.898198,5.081386
