subject,roi,fold,pair,id1,id2,s1,s2,s2_over_s1,singular_gap,outside_leak,source_deltanat_sha256,ok
subj01,ventral,0,0,A:H,B:C,10.098123909109164,6.5394271365333925,0.64758832387018,0.3524116761298201,2.480654570646834e-16,a4858677fd0ea9a4e6e80d7cdb44d0c461f9d04ca9469d05f3253451ee6e6ecc,1
subj01,ventral,0,1,A:H,B:D,9.746910042619366,7.611813543000641,0.7809463214205532,0.21905367857944683,3.452099717193846e-16,a4858677fd0ea9a4e6e80d7cdb44d0c461f9d04ca9469d05f3253451ee6e6ecc,1
subj01,ventral,0,2,A:H,B:K,10.000268102585899,7.707894517410111,0.7707687872305125,0.2292312127694876,2.2101461286117008e-16,a4858677fd0ea9a4e6e80d7cdb44d0c461f9d04ca9469d05f3253451ee6e6ecc,1
subj01,ventral,0,3,A:H,B:T,9.697737970195046,6.823904267330918,0.7036593779192069,0.29634062208079315,2.957703526540456e-16,a4858677fd0ea9a4e6e80d7cdb44d0c461f9d04ca9469d05f3253451ee6e6ecc,1
subj01,ventral,0,4,A:H,B:W,9.88757048364111,6.593841696469888,0.6668818904886025,0.3331181095113976,3.0184188481996443e-16,a4858677fd0ea9a4e6e80d7cdb44d0c461f9d04ca9469d05f3253451ee6e6ecc,1
subj01,ventral,0,5,A:L,B:C,9.95219714750509,6.402994685599844,0.643374984508321,0.356625015491679,3.0292608699244994e-16,a4858677fd0ea9a4e6e80d7cdb44d0c461f9d04ca9469d05f3253451ee6e6ecc,1
subj01,ventral,0,6,A:L,B:D,9.416061511252492,7.719332980090215,0.8198048590554944,0.1801951409445056,4.0911691352382706e-16,a4858677fd0ea9a4e6e80d7cdb44d0c461f9d04ca9469d05f3253451ee6e6ecc,1
subj01,ventral,0,7,A:L,B:K,10.126673588398456,7.223284384407674,0.7132929013020597,0.2867070986979403,2.8102520310824275e-16,a4858677fd0ea9a4e6e80d7cdb44d0c461f9d04ca9469d05f3253451ee6e6ecc,1
subj01,ventral,0,8,A:L,B:T,9.38090061552439,6.922344261793893,0.7379189424881181,0.26208105751188193,3.9942008034365983e-16,a4858677fd0ea9a4e6e80d7cdb44d0c461f9d04ca9469d05f3253451ee6e6ecc,1
subj01,ventral,0,9,A:L,B:W,9.632550311062708,6.61552175877295,0.6867881864240265,0.3132118135759735,3.8359072862537147e-16,a4858677fd0ea9a4e6e80d7cdb44d0c461f9d04ca9469d05f3253451ee6e6ecc,1
