policy,partition,identity,pair_index,source_row,target_row,source_beta_index0,target_beta_index0,child_seed
deterministic_derangement,train,A:E,0,38,43,38,43,185037435079307379
deterministic_derangement,train,A:E,1,43,6,43,6,185037435079307379
deterministic_derangement,train,A:E,2,47,38,47,38,185037435079307379
deterministic_derangement,train,A:E,3,6,47,6,47,185037435079307379
deterministic_derangement,train,A:H,0,10,2,10,2,3227884650454112924
deterministic_derangement,train,A:H,1,2,10,2,10,3227884650454112924
deterministic_derangement,train,A:H,2,35,18,35,18,3227884650454112924
deterministic_derangement,train,A:H,3,18,35,18,35,3227884650454112924
deterministic_derangement,train,A:L,0,42,36,42,36,9426771346349842488
deterministic_derangement,train,A:L,1,29,42,29,42,9426771346349842488
deterministic_derangement,train,A:L,2,36,4,36,4,9426771346349842488
deterministic_derangement,train,A:L,3,4,29,4,29,9426771346349842488
deterministic_derangement,train,A:P,0,37,8,37,8,6162885169005188934
deterministic_derangement,train,A:P,1,13,37,13,37,6162885169005188934
deterministic_derangement,train,A:P,2,8,41,8,41,6162885169005188934
deterministic_derangement,train,A:P,3,41,13,41,13,6162885169005188934
deterministic_derangement,train,A:R,0,44,46,44,46,10681630880657471722
deterministic_derangement,train,A:R,1,46,17,46,17,10681630880657471722
deterministic_derangement,train,A:R,2,39,44,39,44,10681630880657471722
deterministic_derangement,train,A:R,3,17,39,17,39,10681630880657471722
deterministic_derangement,train,A:V,0,40,45,40,45,7649301708160772163
deterministic_derangement,train,A:V,1,33,40,33,40,7649301708160772163
deterministic_derangement,train,A:V,2,15,33,15,33,7649301708160772163
deterministic_derangement,train,A:V,3,45,15,45,15,7649301708160772163
deterministic_derangement,train,B:B,0,83,79,227,223,4315990097165193049
deterministic_derangement,train,B:B,1,76,83,220,227,4315990097165193049
deterministic_derangement,train,B:B,2,79,53,223,197,4315990097165193049
deterministic_derangement,train,B:B,3,53,76,197,220,4315990097165193049
deterministic_derangement,train,B:C,0,90,64,234,208,211354672783592467
deterministic_derangement,train,B:C,1,62,58,206,202,211354672783592467
deterministic_derangement,train,B:C,2,64,90,208,234,211354672783592467
deterministic_derangement,train,B:C,3,58,62,202,206,211354672783592467
deterministic_derangement,train,B:D,0,51,81,195,225,9594655345049073518
deterministic_derangement,train,B:D,1,93,51,237,195,9594655345049073518
deterministic_derangement,train,B:D,2,61,93,205,237,9594655345049073518
deterministic_derangement,train,B:D,3,81,61,225,205,9594655345049073518
deterministic_derangement,train,B:K,0,59,91,203,235,1004643155874824619
deterministic_derangement,train,B:K,1,84,82,228,226,1004643155874824619
deterministic_derangement,train,B:K,2,82,84,226,228,1004643155874824619
deterministic_derangement,train,B:K,3,91,59,235,203,1004643155874824619
deterministic_derangement,train,B:T,0,69,60,213,204,11101611765835692628
deterministic_derangement,train,B:T,1,95,52,239,196,11101611765835692628
deterministic_derangement,train,B:T,2,52,95,196,239,11101611765835692628
deterministic_derangement,train,B:T,3,60,69,204,213,11101611765835692628
deterministic_derangement,train,B:W,0,87,63,231,207,12863288428844123088
deterministic_derangement,train,B:W,1,63,87,207,231,12863288428844123088
deterministic_derangement,train,B:W,2,56,77,200,221,12863288428844123088
deterministic_derangement,train,B:W,3,77,56,221,200,12863288428844123088
deterministic_derangement,val,A:E,0,32,9,32,9,2281880576559226873
deterministic_derangement,val,A:E,1,9,32,9,32,2281880576559226873
deterministic_derangement,val,A:H,0,24,14,24,14,2454814101378177386
deterministic_derangement,val,A:H,1,14,24,14,24,2454814101378177386
deterministic_derangement,val,A:L,0,7,0,7,0,2994050974573689449
deterministic_derangement,val,A:L,1,0,7,0,7,2994050974573689449
deterministic_derangement,val,A:P,0,11,34,11,34,16597448879296969748
deterministic_derangement,val,A:P,1,34,11,34,11,16597448879296969748
deterministic_derangement,val,A:R,0,25,5,25,5,14289665805932719745
deterministic_derangement,val,A:R,1,5,25,5,25,14289665805932719745
deterministic_derangement,val,A:V,0,31,3,31,3,12798660101639440478
deterministic_derangement,val,A:V,1,3,31,3,31,12798660101639440478
deterministic_derangement,val,B:B,0,66,89,210,233,4961981673031956020
deterministic_derangement,val,B:B,1,89,66,233,210,4961981673031956020
