policy,partition,identity,pair_index,source_row,target_row,source_beta_index0,target_beta_index0,child_seed
independent_within_identity_permutation,train,A:E,0,38,123,38,603,17505120671373662514
independent_within_identity_permutation,train,A:E,1,43,118,43,598,17505120671373662514
independent_within_identity_permutation,train,A:E,2,47,138,47,618,17505120671373662514
independent_within_identity_permutation,train,A:E,3,6,116,6,596,17505120671373662514
independent_within_identity_permutation,train,A:H,0,10,119,10,599,14592387995211334425
independent_within_identity_permutation,train,A:H,1,2,140,2,620,14592387995211334425
independent_within_identity_permutation,train,A:H,2,35,104,35,584,14592387995211334425
independent_within_identity_permutation,train,A:H,3,18,125,18,605,14592387995211334425
independent_within_identity_permutation,train,A:L,0,42,135,42,615,13581702900449158614
independent_within_identity_permutation,train,A:L,1,29,115,29,595,13581702900449158614
independent_within_identity_permutation,train,A:L,2,36,96,36,576,13581702900449158614
independent_within_identity_permutation,train,A:L,3,4,110,4,590,13581702900449158614
independent_within_identity_permutation,train,A:P,0,37,130,37,610,5262855477477842737
independent_within_identity_permutation,train,A:P,1,13,139,13,619,5262855477477842737
independent_within_identity_permutation,train,A:P,2,8,122,8,602,5262855477477842737
independent_within_identity_permutation,train,A:P,3,41,127,41,607,5262855477477842737
independent_within_identity_permutation,train,A:R,0,44,103,44,583,14463714717626329670
independent_within_identity_permutation,train,A:R,1,46,105,46,585,14463714717626329670
independent_within_identity_permutation,train,A:R,2,39,124,39,604,14463714717626329670
independent_within_identity_permutation,train,A:R,3,17,98,17,578,14463714717626329670
independent_within_identity_permutation,train,A:V,0,40,128,40,608,7413825343895982121
independent_within_identity_permutation,train,A:V,1,33,100,33,580,7413825343895982121
independent_within_identity_permutation,train,A:V,2,15,97,15,577,7413825343895982121
independent_within_identity_permutation,train,A:V,3,45,132,45,612,7413825343895982121
independent_within_identity_permutation,train,B:B,0,83,161,227,641,18395343694940231986
independent_within_identity_permutation,train,B:B,1,76,173,220,653,18395343694940231986
independent_within_identity_permutation,train,B:B,2,79,179,223,659,18395343694940231986
independent_within_identity_permutation,train,B:B,3,53,185,197,665,18395343694940231986
independent_within_identity_permutation,train,B:C,0,90,158,234,638,5617255445022597398
independent_within_identity_permutation,train,B:C,1,62,163,206,643,5617255445022597398
independent_within_identity_permutation,train,B:C,2,64,151,208,631,5617255445022597398
independent_within_identity_permutation,train,B:C,3,58,146,202,626,5617255445022597398
independent_within_identity_permutation,train,B:D,0,51,188,195,668,16231247189069720219
independent_within_identity_permutation,train,B:D,1,93,150,237,630,16231247189069720219
independent_within_identity_permutation,train,B:D,2,61,157,205,637,16231247189069720219
independent_within_identity_permutation,train,B:D,3,81,160,225,640,16231247189069720219
independent_within_identity_permutation,train,B:K,0,59,189,203,669,8699860553263469452
independent_within_identity_permutation,train,B:K,1,84,149,228,629,8699860553263469452
independent_within_identity_permutation,train,B:K,2,82,187,226,667,8699860553263469452
independent_within_identity_permutation,train,B:K,3,91,178,235,658,8699860553263469452
independent_within_identity_permutation,train,B:T,0,69,190,213,670,7875404335435407736
independent_within_identity_permutation,train,B:T,1,95,159,239,639,7875404335435407736
independent_within_identity_permutation,train,B:T,2,52,162,196,642,7875404335435407736
independent_within_identity_permutation,train,B:T,3,60,180,204,660,7875404335435407736
independent_within_identity_permutation,train,B:W,0,87,175,231,655,15634309056070722787
independent_within_identity_permutation,train,B:W,1,63,171,207,651,15634309056070722787
independent_within_identity_permutation,train,B:W,2,56,145,200,625,15634309056070722787
independent_within_identity_permutation,train,B:W,3,77,181,221,661,15634309056070722787
independent_within_identity_permutation,val,A:E,0,32,120,32,600,14718757995811096943
independent_within_identity_permutation,val,A:E,1,9,114,9,594,14718757995811096943
independent_within_identity_permutation,val,A:H,0,24,113,24,593,13763252582965063926
independent_within_identity_permutation,val,A:H,1,14,121,14,601,13763252582965063926
independent_within_identity_permutation,val,A:L,0,7,117,7,597,11020491340057897317
independent_within_identity_permutation,val,A:L,1,0,126,0,606,11020491340057897317
independent_within_identity_permutation,val,A:P,0,11,101,11,581,390494041924256474
independent_within_identity_permutation,val,A:P,1,34,141,34,621,390494041924256474
independent_within_identity_permutation,val,A:R,0,25,133,25,613,8444075554812116578
independent_within_identity_permutation,val,A:R,1,5,108,5,588,8444075554812116578
independent_within_identity_permutation,val,A:V,0,31,137,31,617,4032269428283897413
independent_within_identity_permutation,val,A:V,1,3,109,3,589,4032269428283897413
independent_within_identity_permutation,val,B:B,0,66,165,210,645,1814967284659231854
independent_within_identity_permutation,val,B:B,1,89,144,233,624,1814967284659231854
independent_within_identity_permutation,val,B:C,0,86,148,230,628,16876027391098893836
independent_within_identity_permutation,val,B:C,1,71,172,215,652,16876027391098893836
independent_within_identity_permutation,val,B:D,0,54,155,198,635,18121911525242933937
independent_within_identity_permutation,val,B:D,1,70,169,214,649,18121911525242933937
independent_within_identity_permutation,val,B:K,0,57,152,201,632,16711270255422116903
independent_within_identity_permutation,val,B:K,1,55,176,199,656,16711270255422116903
independent_within_identity_permutation,val,B:T,0,88,170,232,650,5810729925394351854
independent_within_identity_permutation,val,B:T,1,74,166,218,646,5810729925394351854
independent_within_identity_permutation,val,B:W,0,72,183,216,663,13054602546451442134
independent_within_identity_permutation,val,B:W,1,50,164,194,644,13054602546451442134
independent_within_identity_permutation,test,A:E,0,26,111,26,591,14480407267606719326
independent_within_identity_permutation,test,A:E,1,23,107,23,587,14480407267606719326
independent_within_identity_permutation,test,A:H,0,28,134,28,614,5456345107882994153
independent_within_identity_permutation,test,A:H,1,21,129,21,609,5456345107882994153
independent_within_identity_permutation,test,A:L,0,12,99,12,579,14256979787149703381
independent_within_identity_permutation,test,A:L,1,27,131,27,611,14256979787149703381
independent_within_identity_permutation,test,A:P,0,16,143,16,623,839381114413556274
independent_within_identity_permutation,test,A:P,1,20,112,20,592,839381114413556274
independent_within_identity_permutation,test,A:R,0,30,142,30,622,5605365267469341117
independent_within_identity_permutation,test,A:R,1,22,136,22,616,5605365267469341117
independent_within_identity_permutation,test,A:V,0,19,106,19,586,2358749361830977473
independent_within_identity_permutation,test,A:V,1,1,102,1,582,2358749361830977473
independent_within_identity_permutation,test,B:B,0,85,191,229,671,1416811839185324063
independent_within_identity_permutation,test,B:B,1,94,167,238,647,1416811839185324063
independent_within_identity_permutation,test,B:C,0,49,156,193,636,13527071195616995530
independent_within_identity_permutation,test,B:C,1,73,186,217,666,13527071195616995530
independent_within_identity_permutation,test,B:D,0,68,184,212,664,9301736840417932427
independent_within_identity_permutation,test,B:D,1,65,174,209,654,9301736840417932427
